Longtitude,Latitude,intensity (mm/hr)
121.2250,25.1000,0.1
121.2375,25.1000,0.2
121.2500,25.1000,0.2
121.2625,25.1000,0.2
121.2750,25.1000,0.3
121.2875,25.1000,0.4
121.3000,25.1000,0.4
121.3125,25.1000,0.4
121.3250,25.1000,0.5
121.3375,25.1000,0.6
121.3500,25.1000,0.9
121.3625,25.1000,1.1
121.3750,25.1000,3.0
121.3875,25.1000,4.3
121.4000,25.1000,5.1
121.4125,25.1000,5.9
121.4250,25.1000,6.5
121.4375,25.1000,6.1
121.4500,25.1000,5.4
121.4625,25.1000,4.7
121.4750,25.1000,3.9
121.4875,25.1000,2.7
121.5000,25.1000,2.1
121.5125,25.1000,1.8
121.5250,25.1000,1.6
121.5375,25.1000,1.6
121.5500,25.1000,1.7
121.5625,25.1000,1.8
121.5750,25.1000,2.0
121.5875,25.1000,2.8
121.6000,25.1000,3.6
121.6125,25.1000,4.5
121.6250,25.1000,5.2
121.6375,25.1000,4.9
121.6500,25.1000,4.5
121.6625,25.1000,4.4
121.6750,25.1000,2.8
121.6875,25.1000,2.4
121.7000,25.1000,2.2
121.7125,25.1000,2.3
121.7250,25.1000,2.3
121.7375,25.1000,2.3
121.7500,25.1000,2.5
121.7625,25.1000,2.7
121.7750,25.1000,2.0
121.7875,25.1000,1.8
121.8000,25.1000,1.6
121.8125,25.1000,1.4
121.8250,25.1000,1.3
121.8375,25.1000,1.1
121.8500,25.1000,1.2
121.8625,25.1000,1.0
121.8750,25.1000,1.1
121.8875,25.1000,1.0
121.9000,25.1000,0.9
121.9125,25.1000,0.9
121.1875,25.0875,0.0
121.2000,25.0875,0.0
121.2125,25.0875,0.1
121.2250,25.0875,0.1
121.2375,25.0875,0.2
121.2500,25.0875,0.2
121.2625,25.0875,0.2
121.2750,25.0875,0.3
121.2875,25.0875,0.4
121.3000,25.0875,0.4
121.3125,25.0875,0.5
121.3250,25.0875,0.5
121.3375,25.0875,0.6
121.3500,25.0875,0.7
121.3625,25.0875,1.0
121.3750,25.0875,3.1
121.3875,25.0875,4.3
121.4000,25.0875,5.2
121.4125,25.0875,6.1
121.4250,25.0875,6.3
121.4375,25.0875,6.5
121.4500,25.0875,6.1
121.4625,25.0875,5.0
121.4750,25.0875,4.6
121.4875,25.0875,2.8
121.5000,25.0875,2.1
121.5125,25.0875,1.7
121.5250,25.0875,1.4
121.5375,25.0875,1.5
121.5500,25.0875,1.5
121.5625,25.0875,1.6
121.5750,25.0875,1.8
121.5875,25.0875,2.7
121.6000,25.0875,3.6
121.6125,25.0875,4.7
121.6250,25.0875,5.5
121.6375,25.0875,6.0
121.6500,25.0875,6.2
121.6625,25.0875,5.8
121.6750,25.0875,5.1
121.6875,25.0875,4.1
121.7000,25.0875,3.2
121.7125,25.0875,2.5
121.7250,25.0875,2.5
121.7375,25.0875,2.7
121.7500,25.0875,2.7
121.7625,25.0875,2.6
121.7750,25.0875,2.4
121.7875,25.0875,2.3
121.8000,25.0875,2.0
121.8125,25.0875,1.6
121.8250,25.0875,1.6
121.8375,25.0875,1.3
121.8500,25.0875,1.3
121.8625,25.0875,1.3
121.8750,25.0875,1.2
121.8875,25.0875,1.0
121.9000,25.0875,0.9
121.9125,25.0875,1.0
121.1375,25.0750,0.0
121.1500,25.0750,0.0
121.1625,25.0750,0.0
121.1750,25.0750,0.0
121.1875,25.0750,0.0
121.2000,25.0750,0.0
121.2125,25.0750,0.1
121.2250,25.0750,0.1
121.2375,25.0750,0.2
121.2500,25.0750,0.2
121.2625,25.0750,0.3
121.2750,25.0750,0.4
121.2875,25.0750,0.4
121.3000,25.0750,0.5
121.3125,25.0750,0.5
121.3250,25.0750,0.6
121.3375,25.0750,0.6
121.3500,25.0750,0.6
121.3625,25.0750,0.9
121.3750,25.0750,2.4
121.3875,25.0750,4.0
121.4000,25.0750,4.9
121.4125,25.0750,5.6
121.4250,25.0750,6.3
121.4375,25.0750,6.4
121.4500,25.0750,5.8
121.4625,25.0750,5.4
121.4750,25.0750,5.0
121.4875,25.0750,3.0
121.5000,25.0750,2.4
121.5125,25.0750,1.6
121.5250,25.0750,1.3
121.5375,25.0750,1.3
121.5500,25.0750,1.4
121.5625,25.0750,1.4
121.5750,25.0750,1.6
121.5875,25.0750,2.1
121.6000,25.0750,3.1
121.6125,25.0750,4.1
121.6250,25.0750,5.8
121.6375,25.0750,6.1
121.6500,25.0750,6.8
121.6625,25.0750,7.1
121.6750,25.0750,6.4
121.6875,25.0750,5.7
121.7000,25.0750,4.9
121.7125,25.0750,4.1
121.7250,25.0750,3.5
121.7375,25.0750,2.8
121.7500,25.0750,2.6
121.7625,25.0750,2.7
121.7750,25.0750,2.4
121.7875,25.0750,2.3
121.8000,25.0750,2.2
121.8125,25.0750,1.8
121.8250,25.0750,1.7
121.8375,25.0750,1.3
121.8500,25.0750,1.4
121.8625,25.0750,1.3
121.8750,25.0750,1.2
121.8875,25.0750,1.1
121.9000,25.0750,1.0
121.9125,25.0750,1.0
121.1000,25.0625,0.0
121.1125,25.0625,0.0
121.1250,25.0625,0.0
121.1375,25.0625,0.0
121.1500,25.0625,0.0
121.1625,25.0625,0.0
121.1750,25.0625,0.0
121.1875,25.0625,0.0
121.2000,25.0625,0.0
121.2125,25.0625,0.0
121.2250,25.0625,0.0
121.2375,25.0625,0.1
121.2500,25.0625,0.2
121.2625,25.0625,0.3
121.2750,25.0625,0.4
121.2875,25.0625,0.5
121.3000,25.0625,0.6
121.3125,25.0625,0.7
121.3250,25.0625,0.7
121.3375,25.0625,0.7
121.3500,25.0625,0.8
121.3625,25.0625,0.8
121.3750,25.0625,1.0
121.3875,25.0625,1.2
121.4000,25.0625,2.1
121.4125,25.0625,2.9
121.4250,25.0625,4.8
121.4375,25.0625,5.1
121.4500,25.0625,5.3
121.4625,25.0625,5.1
121.4750,25.0625,4.1
121.4875,25.0625,2.7
121.5000,25.0625,2.0
121.5125,25.0625,1.5
121.5250,25.0625,1.0
121.5375,25.0625,1.1
121.5500,25.0625,1.2
121.5625,25.0625,1.2
121.5750,25.0625,1.4
121.5875,25.0625,1.8
121.6000,25.0625,2.0
121.6125,25.0625,2.4
121.6250,25.0625,4.0
121.6375,25.0625,5.2
121.6500,25.0625,6.3
121.6625,25.0625,6.8
121.6750,25.0625,6.7
121.6875,25.0625,6.4
121.7000,25.0625,5.5
121.7125,25.0625,5.0
121.7250,25.0625,4.4
121.7375,25.0625,3.5
121.7500,25.0625,2.9
121.7625,25.0625,2.7
121.7750,25.0625,2.2
121.7875,25.0625,1.9
121.8000,25.0625,1.9
121.8125,25.0625,1.8
121.8250,25.0625,1.6
121.8375,25.0625,1.3
121.8500,25.0625,1.3
121.8625,25.0625,1.3
121.8750,25.0625,1.2
121.8875,25.0625,1.2
121.9000,25.0625,1.1
121.9125,25.0625,1.0
121.9250,25.0625,0.8
